sales_id,active_wallets,cumulative_sales,date,primary_sales_cumulative,sales_count
430,84939,53216321.42,NULL,1035765,1533160
431,84956,53265502.95,NULL,1038734,1536846
432,85022,53328579.16,NULL,1042938,1541768
433,85109,53407141.02,NULL,1046200,1545875
434,85177,53476130.33,NULL,1050082,1550821
435,85268,53542806.12,NULL,1057193,1559094
436,85412,53623117.06,NULL,1066503,1569546
437,85480,53701147.27,NULL,1074803,1578974
438,85624,53776207.98,NULL,1081683,1586928
439,85754,53851853.9,NULL,1087945,1594187
440,85807,54077886.64,NULL,1091980,1599129
441,86004,54172206.86,NULL,1096348,1604677
442,86228,54223906.76,NULL,1102216,1611915
443,86368,54299749.3,NULL,1108561,1619844
444,86477,54397820.09,NULL,1113263,1625944
445,86594,54486010.93,NULL,1120659,1635097
446,86712,54636180.7,NULL,1127368,1643150
447,86842,54716582.59,NULL,1136543,1654050
448,86917,54876284,NULL,1144700,1663880
449,87027,55039580.33,NULL,1147820,1668330
450,87189,55186617.09,NULL,1151204,1673099
451,87265,55289902.56,NULL,1153933,1676897
452,87321,55466897.38,NULL,1156315,1680119
453,87371,55535068.99,NULL,1159333,1683981
454,87468,55623676.77,NULL,1162469,1688232
455,87520,55740032.7,NULL,1166854,1693587
456,87566,55838640.14,NULL,1170487,1698004
457,87709,55996549.93,NULL,1175030,1703324
458,87810,56063748.65,NULL,1181254,1710418
459,87866,56267825.44,NULL,1185826,1715933
460,87989,56353468.71,NULL,1189734,1720796
461,88205,56418559.78,NULL,1193458,1725574
462,88450,56499822.24,NULL,1198283,1731457
463,88586,56602775.82,NULL,1203310,1737688
464,88642,56652339.12,NULL,1206115,1741348
465,88696,56736513.8,NULL,1209481,1745618
466,88792,56788384.61,NULL,1213643,1750614
467,88880,56860505.47,NULL,1217442,1755013
468,88947,56948313.26,NULL,1219945,1758146
469,89009,57104588.95,NULL,1222942,1761914
470,89145,57223799.89,NULL,1226548,1766257
471,89210,57340760.42,NULL,1232855,1773680
472,89271,57415716.48,NULL,1236503,1778139
473,89343,57498904.02,NULL,1240021,1782636
474,89403,57559105.27,NULL,1243343,1786882
475,89491,57633310.44,NULL,1246166,1790582
476,89531,57723978.52,NULL,1249497,1794903
477,89588,57864510.29,NULL,1254864,1801199
478,89637,58034342.26,NULL,1258681,1805898
479,89713,58163166.35,NULL,1261753,1809861
480,89752,58232911.14,NULL,1264343,1813176
481,89793,58327147.54,NULL,1266732,1816292
482,89843,58379201.36,NULL,1269220,1819660
483,89903,58464818.43,NULL,1273728,1825180
484,89941,58563826.65,NULL,1276324,1828667
485,89987,58643222.77,NULL,1282953,1836752
486,90076,58694350.58,NULL,1286648,1841417
487,90162,58741979.49,NULL,1291333,1846914
488,90176,58929423.01,NULL,1294911,1851138
489,90229,59025498.48,NULL,1299229,1856343
490,90322,59118350.4,NULL,1302432,1860632
491,90377,59178319.52,NULL,1305186,1864187
492,90420,59231988.5,NULL,1308998,1868774
493,90485,59290179.67,NULL,1313503,1874218
494,90518,59351563.48,NULL,1316888,1878507
495,90585,59414410.71,NULL,1320378,1882794
496,90661,59542214.77,NULL,1323385,1886604
497,90788,59582688.2,NULL,1326244,1890349
498,90928,59688541.63,NULL,1329155,1894297
499,91024,59809828.56,NULL,1332021,1898141
500,91134,59857476.89,NULL,1335766,1902763
501,91303,59916019.82,NULL,1339473,1907486
502,91398,60190689.67,NULL,1342973,1911939
503,91493,60290359.8,NULL,1345838,1915719
504,91521,60427918.76,NULL,1350305,1920902
505,91603,60530995.67,NULL,1353107,1924658
506,91694,60609875.87,NULL,1355764,1928212
507,91779,60676390.56,NULL,1359041,1932294
508,91870,60908697.46,NULL,1362450,1936432
509,91929,61005429.96,NULL,1365604,1940417
510,91960,61164733.9,NULL,1369867,1945734
511,92142,61301965.86,NULL,1374276,1951214
512,92207,61427120.23,NULL,1382991,1961455
513,92292,61519551.61,NULL,1388442,1968039
514,92344,61559202.57,NULL,1392405,1972914
515,92403,61617357.56,NULL,1395987,1977537
516,92444,61720238.34,NULL,1399310,1981626
517,92529,61789716.25,NULL,1402535,1985658
518,92592,61830565.89,NULL,1407972,1992093
519,92671,61883785.87,NULL,1413469,1998720
520,92743,61953203.85,NULL,1417160,2003332
521,92776,62002092.44,NULL,1420876,2007876
522,92831,62033880.91,NULL,1425250,2013057
523,93016,62084745.31,NULL,1430082,2019035
524,93116,62130054.74,NULL,1435167,2025173
525,93179,62180092.76,NULL,1439282,2030302
526,93388,62278317.67,NULL,1443003,2034929
527,93544,62382590.19,NULL,1448115,2041032
528,93645,62441696.44,NULL,1457577,2051912
529,93727,62496110.85,NULL,1464097,2059399
530,93806,62531513.97,NULL,1470172,2066608
531,93904,62575689.6,NULL,1475495,2072935
532,94055,62632739.09,NULL,1480117,2086659
533,94108,62667949.84,NULL,1484606,2092303
534,94241,62702239.02,NULL,1488770,2098744
